"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.27.68.75","255.255.255.255","UDP","245","6537  >  6537 Len=203"
"2","0.000000","172.27.68.75","255.255.255.255","UDP","245","6537  >  6537 Len=203"
"3","0.018132","49.44.197.202","172.27.68.210","TCP","60","80  >  33717 [ACK] Seq=1 Ack=1 Win=502 Len=0"
"4","0.018132","49.44.197.202","172.27.68.210","HTTP","241","HTTP/1.1 200 OK  (text/plain)"
"5","0.018298","172.27.68.210","49.44.197.202","TCP","54","33717  >  80 [FIN, ACK] Seq=1 Ack=188 Win=1025 Len=0"
"6","0.018873","49.44.197.202","172.27.68.210","TCP","60","80  >  33717 [FIN, ACK] Seq=188 Ack=1 Win=502 Len=0"
"7","0.019013","172.27.68.210","49.44.197.202","TCP","54","33717  >  80 [ACK] Seq=2 Ack=189 Win=1025 Len=0"
"8","0.065789","172.27.71.116","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"9","0.070601","49.44.197.202","172.27.68.210","TCP","60","80  >  33717 [ACK] Seq=189 Ack=2 Win=502 Len=0"
"10","0.077519","172.27.68.202","224.2.2.2","UDP","72","59616  >  8995 Len=30"
"11","0.115719","172.27.70.167","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"12","0.131027","172.27.70.167","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"13","0.165625","172.27.70.170","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"14","0.194406","172.27.71.164","224.2.2.2","UDP","72","60230  >  8995 Len=30"
"15","0.200462","TCLKingE_f5:63:5f","Broadcast","ARP","60","Who has 172.27.68.255? Tell 172.27.68.75"
"16","0.204637","216.58.203.10","172.27.68.210","UDP","137","443  >  54065 Len=95"
"17","0.205126","172.27.68.210","216.58.203.10","UDP","80","54065  >  443 Len=38"
"18","0.241046","216.58.203.10","172.27.68.210","UDP","68","443  >  54065 Len=26"
"19","0.299691","172.27.70.198","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
